LC1,month,mean_ndvi,vv$mean_vv,vh$mean_vh
A,1,0.281265509133052,-8.32612764950346,-15.7047118866434
A,2,0.274936686664271,-7.85287209122365,-15.1775551425926
A,3,0.26540080983077,-7.51443440072089,-15.156789892194
A,4,0.31469941273269,-8.17217047589985,-15.0693167352955
A,5,0.294035649184588,-8.1544990699259,-15.1888258838386
A,6,0.289994516521564,-7.86236916765752,-14.8640816642476
A,7,0.286196252715685,-7.94292273602964,-15.0451663007767
A,8,0.311261434320216,-7.9589209241412,-15.0646485901869
A,9,0.299854764530578,-8.12779810189372,-15.3300525547113
A,10,0.316586396314328,-7.1981197258535,-14.9172183185596
A,11,0.333785355900409,-7.52287293131516,-15.0876934727959
A,12,0.327604390427006,-7.92766725912126,-15.5092654348216
B,1,0.423468691949944,-11.5658368700138,-19.6215061522551
B,2,0.447148304445695,-10.2351216325719,-17.7854394242756
B,3,0.512451485856792,-11.1549782888447,-18.5565836209412
B,4,0.586161303282436,-13.0401978910888,-19.4154304654346
B,5,0.529117253445498,-11.6652746763998,-18.0413770743745
B,6,0.441916485335896,-11.3246604375174,-18.4379722542609
B,7,0.42964657666388,-11.8355898651459,-19.2670829344962
B,8,0.428175946293379,-11.3101258667937,-18.8588085040951
B,9,0.368113473465437,-11.8026273629215,-19.803002003327
B,10,0.389846422033978,-9.82255768550749,-17.8030022502629
B,11,0.443605052129986,-9.56567736823547,-17.6149539169677
B,12,0.46888872252367,-10.609484903839,-18.9757272806628
C,1,0.549752514480384,-9.87594175820929,-15.3676550654348
C,2,0.443095187051309,-9.10132450810609,-14.6843672684023
C,3,0.39900824717092,-8.85917441475626,-14.6466018676427
C,4,0.599072098503461,-8.84210057641765,-14.6371062946783
C,5,0.681499771933796,-9.17719920347814,-15.3713849434727
C,6,0.691385850580062,-9.13643425788098,-15.3701205808472
C,7,0.687901800815853,-9.16697000265581,-15.3676504293304
C,8,0.728462805034277,-9.16599370463764,-15.4597598132345
C,9,0.748056221192382,-9.67940402358535,-15.960036621136
C,10,0.688135836453576,-8.81110682757943,-14.8322109589289
C,11,0.575834478203669,-8.92501885312785,-14.8450171147938
C,12,0.594058529867925,-9.20806723305287,-15.0849243141374
D,1,0.483040487365633,-10.9167311519933,-17.091232213594
D,2,0.437990972254173,-10.1119864471091,-16.3067353226312
D,3,0.414769880711592,-10.4911350398511,-16.689096965972
D,4,0.523357602778676,-10.8999770194554,-16.9741684965609
D,5,0.577400959473523,-10.5200601199811,-16.6212532748872
D,6,0.533878200391311,-10.2572598238101,-16.6177919953532
D,7,0.513411548758121,-10.4032333809754,-16.8415318420174
D,8,0.546278809417942,-10.3296940754532,-16.8726630017147
D,9,0.556232700277308,-10.907098390058,-17.42011445511
D,10,0.596684651750848,-9.93197480065156,-16.3789313151165
D,11,0.540850363461337,-10.0894713980663,-16.6565781993516
D,12,0.547912626311427,-10.6364900115193,-17.2974710867329
E,1,0.432006913705116,-11.79275890322,-18.8362263116796
E,2,0.419465544353306,-10.7415839497915,-17.6794006994562
E,3,0.433554414101382,-10.8960994260538,-18.0641324046368
E,4,0.539774751730841,-11.8664125663396,-18.2923375054163
E,5,0.531378791649322,-11.0381360187831,-17.3944619146072
E,6,0.474494157314294,-11.0289636213163,-17.6273013749079
E,7,0.443044771295499,-11.3587205706707,-18.2654234982955
E,8,0.476761183438623,-11.0967296833071,-18.123961638817
E,9,0.486833834401714,-11.7494247417178,-18.8957464584257
E,10,0.525275905965478,-10.2816126391179,-17.4842436055958
E,11,0.508485925110882,-10.5700937329205,-17.7817820375492
E,12,0.499954161630383,-11.1703759018,-18.6658800755081
F,1,0.22732345605919,-10.7967506332711,-17.9664065695598
F,2,0.23854382426532,-9.80550819095263,-16.6719360463218
F,3,0.198994606706743,-10.3057889632041,-17.7313546693966
F,4,0.182759919272873,-12.2113646153485,-20.415496981556
F,5,0.239267493602817,-11.4262980916367,-18.8707483608328
F,6,0.195283893887526,-9.93315717372734,-18.350338111797
F,7,0.225224874380798,-9.47128450689636,-17.6552918803792
F,8,0.249469149563567,-9.54118764043445,-17.5042181305451
F,9,0.236337556645862,-9.88788687552227,-17.7989185310789
F,10,0.227333169355917,-9.56118495358868,-17.9338824828623
F,11,0.232421635109258,-9.54921993426534,-17.7247649512891
F,12,0.184151756872995,-10.0188254160918,-17.8640564493711
G,1,0.160227152597326,-13.4543640144954,-20.2519701239371
G,2,0.104810810006993,-12.1632173516538,-19.4386200015317
G,3,0.0928336636608647,-12.7815348742529,-20.4441500158907
G,4,0.184616246716126,-13.7627905050892,-21.4810463368055
G,5,0.213780054240131,-13.6896691603506,-20.9362488611388
G,6,0.229465350691113,-13.4900163169682,-21.1535240623603
G,7,0.223003384019126,-13.0476924883139,-20.8826237937051
G,8,0.241786558862246,-12.9648102644683,-20.6252315570834
G,9,0.216833866576563,-13.4919942723632,-21.5529677526895
G,10,0.234489151073141,-12.3409436840737,-20.3963766033578
G,11,0.200260625082799,-13.0584798964294,-21.0113400636227
G,12,0.171968055610783,-13.6101647635481,-21.2663414124437
H,1,0.250981605969129,-13.9028392685116,-20.4952281175186
H,2,0.284343721555632,-11.5785577658012,-18.7008109971757
H,3,0.261461180839125,-13.1993460702847,-19.3974742100526
H,4,0.409590078638176,-12.8086557438241,-20.9365000225891
H,5,0.510166704350604,-12.7685616154172,-20.1557195332259
H,6,0.47016105451392,-13.2845982396041,-19.2733009245689
H,7,0.439784317294099,-12.3596382670772,-20.2624349667737
H,8,0.453448790178578,-12.8076181827146,-20.3020832820284
H,9,0.419677195784622,-12.6381696696278,-20.1589682655245
H,10,0.432709212381465,-11.7295478050101,-19.9119375115086
H,11,0.378855012840637,-12.2494569664344,-19.5088943927224
H,12,0.312116946973885,-13.2770971611155,-20.8242374977323
